Descript,predCategory
"BURGLARY OF STORE, ATTEMPTED FORCIBLE ENTRY",BURGLARY
POSS OF FIRE BOMB,OTHER OFFENSES
LOITERING WITHOUT LAWFUL BUSINESS WITH OWNER OR OCCUPANT,TRESPASS
POSSESSION OF MACHINE GUN,LARCENY/THEFT
"EMBEZZLEMENT, PETTY THEFT PRIVATE PROPERTY",LARCENY/THEFT
POSSESSION OF CONTROLLED SUBSTANCE,DRUG/NARCOTIC
"RESISTING PEACE OFFICER, CAUSING THEIR SERIOUS INJURY OR DEATH",ASSAULT
"WEAPON, POSSESS OR BRING OTHER ON SCHOOL GROUNDS",WEAPON LAWS
"TRUANT, HABITUAL",OTHER OFFENSES
SAFE BURGLARY OF AN APARTMENT,BURGLARY
FRAUDULENT AUCTION,FRAUD
ROBBERY OF A SERVICE STATION WITH A GUN,ROBBERY
CARRYING OF CONCEALED WEAPON BY CONVICTED FELON,WEAPON LAWS
ATTEMPTED SUICIDE BY STRANGULATION,SUICIDE
"STOLEN ACCESS CARD, POSSESSION",FRAUD
"OBSCENE MATTER, DISTRIBUTION TO MINORS",OTHER OFFENSES
JUVENILE PAROLE VIOLATOR,OTHER OFFENSES
"BURGLARY OF WAREHOUSE, UNLAWFUL ENTRY",BURGLARY
INCIDENT ON SCHOOL GROUNDS,OTHER OFFENSES
DESTITUTE MINOR,OTHER OFFENSES
LOITERING WHERE NARCOTICS ARE SOLD/USED,DRUG/NARCOTIC
SHELTER,NON-CRIMINAL
ATTEMPTED ROBBERY ON THE STREET WITH A GUN,ROBBERY
"BURGLARY,APT UNDER CONSTRUCTION, UNLAWFUL ENTRY",BURGLARY
POSSESSION OF AMPHETAMINE,DRUG/NARCOTIC
OPERATING WITHOUT CABARET PERMIT,OTHER OFFENSES
"FORGERY, DRIVERS LICENSE OR ID-CARD",FORGERY/COUNTERFEITING
UNKNOWN COMPLAINT,OTHER OFFENSES
POSSESSION OF NARCOTICS PARAPHERNALIA,DRUG/NARCOTIC
CRUELTY TO ANIMALS,OTHER OFFENSES
DANGER OF LEADING IMMORAL LIFE,OTHER OFFENSES
REAL ESTATE FRAUD,FRAUD
"MALICIOUS MISCHIEF, ADULT SUSPECT",VANDALISM
SUICIDE BY JUMPING,SUICIDE
SEXUAL BATTERY,ASSAULT
PROBATION SEARCH,NON-CRIMINAL
"IDENTIFICATION, GOVERNMENT, POSSESS, MAKE OR SELL FALSE",FORGERY/COUNTERFEITING
LODGING WITHOUT PERMISSION,TRESPASS
MONEY OFFENSE RELATED TO NARCOTICS TRAFFICKING,DRUG/NARCOTIC
"DISTURBING THE PEACE, SWEARING",DISORDERLY CONDUCT
AGGRAVATED ASSAULT WITH A GUN,ASSAULT
COMMISSION OF FELONY WHILE ARMED,OTHER OFFENSES
"EMBEZZLEMENT, GRAND THEFT LEASED PROPERTY",LARCENY/THEFT
TRANSPORTATION OF AMPHETAMINE,DRUG/NARCOTIC
FRAUDULENT USE OF AUTOMATED TELLER CARD,FRAUD
"COMPUTER SYSTEM, ACCESSING, COPYING, OR DAMAGING",OTHER OFFENSES
"AUTO, GRAND THEFT OF",LARCENY/THEFT
"FIREARMS, SEIZING AT SCENE OF DV",OTHER OFFENSES
"WEAPON, POSSESSING IN PUBLIC BUILDING OR OPEN MEETING",WEAPON LAWS
SALE OF COCAINE,DRUG/NARCOTIC
SALE OF ALCOHOL AFTER HOURS,LIQUOR LAWS
"BURGLARY, FORCIBLE ENTRY",BURGLARY
"BURGLARY,BLDG. UNDER CONSTRUCTION, FORCIBLE ENTRY",BURGLARY
ENROUTE TO PAROLE OFFICER,WARRANTS
PETTY THEFT AUTO STRIP,LARCENY/THEFT
"EMBEZZLEMENT, PETTY THEFT BY BROOKERS/AGENTS",EMBEZZLEMENT
"AIDED CASE, MENTAL DISTURBED",NON-CRIMINAL
"SEXUAL ASSAULT, ADMINISTERING DRUG TO COMMIT","SEX OFFENSES, FORCIBLE"
ARSON,NON-CRIMINAL
ROBBERY OF A BANK WITH BODILY FORCE,ROBBERY
ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE,ROBBERY
POSSESSION OF OPIATES FOR SALES,DRUG/NARCOTIC
ROBBERY OF A SERVICE STATION W/DANGEROUS WEAPON,ROBBERY
"EMBEZZLEMENT, GRAND THEFT BY EMPLOYEE",EMBEZZLEMENT
SAFE BURGLARY OF A RESIDENCE,BURGLARY
DESTRUCTION OF PROPERTY WITH EXPLOSIVES,NON-CRIMINAL
"BURGLARY OF HOTEL ROOM, ATTEMPTED FORCIBLE ENTRY",BURGLARY
"CREDIT CARD, THEFT BY USE OF",FRAUD
PETTY THEFT FROM A BUILDING,LARCENY/THEFT
"BURGLARY OF RESIDENCE, ATTEMPTED FORCIBLE ENTRY",BURGLARY
INTOXICATED JUVENILE,OTHER OFFENSES
"AUDIOVISUAL (VIDEO OR SOUND) RECORDINGS, UNAUTHORIZED",FRAUD
ARSON OF A VACANT BUILDING,ARSON
DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL,DRIVING UNDER THE INFLUENCE
POSSESSION OF ALCOHOL BY MINOR,DRUG/NARCOTIC
VIOLATION OF PARK CODE,OTHER OFFENSES
"FORCIBLE RAPE, ARMED WITH A DANGEROUS WEAPON",ROBBERY
GRAND THEFT FROM A BUILDING,LARCENY/THEFT
SALE OF AMPHETAMINE,DRUG/NARCOTIC
POSSESSION OF BURGLARY TOOLS W/PRIORS,OTHER OFFENSES
"STOLEN ELECTRONICS, POSSESSION",VEHICLE THEFT
SCALPING TICKETS,OTHER OFFENSES
THEFT FROM MERCHANT OR LIBRARY,LARCENY/THEFT
"DEATH, ACCIDENTAL",NON-CRIMINAL
MISPLACED VEHICLE,NON-CRIMINAL
DISTURBING RELIGIOUS MEETINGS,DISORDERLY CONDUCT
AGGRAVATED ASSAULT WITH A DEADLY WEAPON,ASSAULT
CASE CLOSURE,NON-CRIMINAL
ROBBERY OF A CHAIN STORE WITH BODILY FORCE,ROBBERY
"MALICIOUS MISCHIEF, BREAKING WINDOWS",VANDALISM
"STOLEN CELLULAR PHONE, NON-CLONED, POSSESSION",STOLEN PROPERTY
ROBBERY OF A RESIDENCE WITH BODILY FORCE,ROBBERY
"HAZARDOUS SUBSTANCES, DEPOSITING",OTHER OFFENSES
"DOG, FIGHTING;  OWNING, FIGHTING, OR ATTENDING FIGHT",NON-CRIMINAL
ATTEMPTED SUICIDE BY INGESTION,SUICIDE
ROBBERY OF A RESIDENCE WITH A GUN,ROBBERY
SALE OF BARBITUATES,DRUG/NARCOTIC
DISCHARGE FIREARM WITHIN CITY LIMITS,WEAPON LAWS
STOLEN TRAILER,VEHICLE THEFT
TRANSPORTATION OF HALLUCINOGENIC,DRUG/NARCOTIC
SHOOTING INTO INHABITED DWELLING OR OCCUPIED VEHICLE,ASSAULT
"ROBBERY OF A COMMERCIAL ESTABLISHMENT, STRONGARM",ROBBERY
ATTEMPTED HOMICIDE WITH A KNIFE,ASSAULT
"THROWING OBJECT AT COMMON CARRIER, PASSENGER OR FREIGHT",OTHER OFFENSES
FAILURE TO PROVIDE FOR CHILD,OTHER OFFENSES
"CHILD ABUSE, EXPLOITATION","SEX OFFENSES, FORCIBLE"
TRESPASS WITHIN 30 DAYS OF CREDIBLE THREAT,ASSAULT
GRAND THEFT FROM PERSON,LARCENY/THEFT
THEFT OF ANIMALS (GENERAL),LARCENY/THEFT
BATTERY,ASSAULT
PETTY THEFT BICYCLE,LARCENY/THEFT
"CIVIL SIDEWALKS, CITATION",NON-CRIMINAL
ARSON OF A VEHICLE,LARCENY/THEFT
SELLING/DISCHARGING OF FIRECRACKERS,OTHER OFFENSES
DAMAGE TO MAIL BOX,VANDALISM
PUTTING SLUGS IN COIN OPERATED MACHINES,FRAUD
"COUNTERFEITING, COINS OR NOTES",FORGERY/COUNTERFEITING
FOUND PERSON,NON-CRIMINAL
COURTESY REPORT,NON-CRIMINAL
STOLEN TRUCK,VEHICLE THEFT
MISCELLANEOUS LIQOUR LAW VIOLATION,LIQUOR LAWS
TAMPERING WITH MARKS ON FIREARM,VEHICLE THEFT
ROBBERY OF A RESIDENCE WITH A KNIFE,ROBBERY
"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",VANDALISM
"CHECKS, POSSESSION WITH INTENT TO PASS",FORGERY/COUNTERFEITING
ATTEMPTED MAYHEM WITH A DEADLY WEAPON,ASSAULT
"EMBEZZLEMENT, GRAND THEFT PUBLIC/PRIVATE OFFICIAL",EMBEZZLEMENT
PLACING WIFE IN HOUSE OF PROSTITUTION,PROSTITUTION
"BURGLARY,HOTEL UNDER CONSTRUCTION, FORCIBLE ENTRY",BURGLARY
AGGRESSIVE SOLICITING,OTHER OFFENSES
AFFIXING ADVERTISMENTS TO POLES,OTHER OFFENSES
CONCEALMENT/REMOVAL OF CHILD WITHOUT CONSENT,FAMILY OFFENSES
FORGE OR ALTER PRESCRIPTION,DRUG/NARCOTIC
"FIREARM, DISCHARGING AT OCCUPIED BLDG, VEHICLE, OR AIRCRAFT",ASSAULT
"CHILDREN, ABANDONMENT & NEGLECT OF (GENERAL)",FAMILY OFFENSES
GRAND THEFT FROM UNLOCKED AUTO,LARCENY/THEFT
LOCATED PROPERTY,NON-CRIMINAL
SODOMY (ADULT VICTIM),"SEX OFFENSES, FORCIBLE"
MAYHEM WITH A KNIFE,ASSAULT
OBSTRUCTIONS ON STREETS/SIDEWALKS,OTHER OFFENSES
ATTEMPTED ROBBERY SERVICE STATION W/BODILY FORCE,ROBBERY
INFLICT INJURY ON COHABITEE,ASSAULT
ROBBERY OF A CHAIN STORE WITH A GUN,ROBBERY
SUSPICIOUS OCCURRENCE,SUSPICIOUS OCC
"BURGLARY OF APARTMENT HOUSE, ATT FORCIBLE ENTRY",BURGLARY
"EMBEZZLEMENT, PETTY THEFT PUBLIC/PRIVATE OFFICIAL",EMBEZZLEMENT
"CIVIL SIDEWALKS, VIOLATION",NON-CRIMINAL
"LICENSE PLATE, RECOVERED",OTHER OFFENSES
PROPERTY FOR IDENTIFICATION,NON-CRIMINAL
GRAND THEFT PHONE BOOTH,LARCENY/THEFT
TRANSPORTAION OF CONTROLLED SUBSTANCE,DRUG/NARCOTIC
ATTEMPTED SUICIDE BY LACERATION,SUICIDE
SELL OR FURNISH ALCOHOL TO INTOXICATED PERSON,LIQUOR LAWS
"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",BURGLARY
DISCHARGE FIREARM AT AN INHABITED DWELLING,WEAPON LAWS
POSS OF DEADLY WEAPON WITH INTENT TO ASSAULT,ASSAULT
"PENETRATION, FORCED, WITH OBJECT","SEX OFFENSES, FORCIBLE"
"ASSAULT, AGGRAVATED, W/ GUN",ASSAULT
"STOLEN METALS, RECEIVING",STOLEN PROPERTY
"BURGLARY,APT UNDER CONSTRUCTION, ATT. FORCIBLE",BURGLARY
"CELLULAR OR CORDLESS PHONE COMMUNICATIONS, INTERCEPTING",FRAUD
"ATTEMPTED RAPE, ARMED WITH A SHARP INSTRUMENT","SEX OFFENSES, FORCIBLE"
"BURGLARY OF HOTEL ROOM, UNLAWFUL ENTRY",BURGLARY
"CHECKS OR LEGAL INSTRUMENTS, UTTERING FORGED",FORGERY/COUNTERFEITING
PETTY THEFT WITH PRIOR,LARCENY/THEFT
TRANSPORTATION OF METH-AMPHETAMINE,DRUG/NARCOTIC
ATTEMPTED THEFT FROM UNLOCKED VEHICLE,LARCENY/THEFT
INTERFERRING WITH A POLICE OFFICER,OTHER OFFENSES
"BURGLARY,BLDG. UNDER CONSTRUCTION, ATT. FORCIBLE",BURGLARY
ATTEMPTED SUICIDE BY ASPHYXIATION,SUICIDE
ESCAPE OR ASSISTING ESCAPE,OTHER OFFENSES
"EMBEZZLEMENT, GRAND THEFT BY COLLECTOR",EMBEZZLEMENT
PLANTING/CULTIVATING PEYOTE,DRUG/NARCOTIC
VIOLATION OF RESTRAINING ORDER,OTHER OFFENSES
LOITERING WHILE CARRYING CONCEALED WEAPON,WEAPON LAWS
"EMBEZZLEMENT, GRAND THEFT BY BROOKERS/AGENTS",EMBEZZLEMENT
MINOR WITHOUT PROPER PARENTAL CARE,FAMILY OFFENSES
PAROLE SEARCH,NON-CRIMINAL
"BURGLARY, VEHICLE, ATT. (ARREST MADE)",BURGLARY
CURFEW VIOLATION,OTHER OFFENSES
SALE OF OPIATES,DRUG/NARCOTIC
"HAZARDOUS MATERIALS, SPILL LOAD",OTHER OFFENSES
ASSAULT ON A POLICE OFFICER WITH A DEADLY WEAPON,ASSAULT
"LOST PROPERTY, PETTY THEFT",LARCENY/THEFT
ROBBERY ON THE STREET WITH A KNIFE,ROBBERY
"BURGLARY, HOT PROWL, ATTEMPTED FORCIBLE ENTRY",BURGLARY
POSSESSION OF HALLUCINOGENIC FOR SALES,DRUG/NARCOTIC
"THEFT, DRUNK ROLL, $50-$200",LARCENY/THEFT
"FIREARM, LOADED, IN VEHICLE, POSSESSION OR USE",VEHICLE THEFT
"PHONE CALLS, HARASSING, TO 911",OTHER OFFENSES
ATTEMPTED HOMICIDE WITH BODILY FORCE,ASSAULT
WEARING THE APPAREL OF OPPOSITE SEX TO DECEIVE,OTHER OFFENSES
"FORCIBLE RAPE, ARMED WITH A GUN",ROBBERY
GRAND THEFT BICYCLE,LARCENY/THEFT
GRAND THEFT PICKPOCKET,LARCENY/THEFT
SALE OF CONTROLLED SUBSTANCE,DRUG/NARCOTIC
"FORGERY, GOVERNMENT OR CORPORATE SEALS",FORGERY/COUNTERFEITING
ESCAPE FROM HOSPITAL WITH FORCE,OTHER OFFENSES
"ACCESS CARD INFORMATION, PUBLICATION OF",FRAUD
POSSESSION OF EXPLOSIVE DEVICE,DRUG/NARCOTIC
"WEAPON, ASSAULT, REGISTRATION OR TRANSFER VIOLATION",OTHER OFFENSES
MINOR PURCHASING ALCOHOL,LIQUOR LAWS
TAMPERING WITH A VEHICLE,OTHER OFFENSES
FALSIFICATION OF MEDICAL RECORDS,FORGERY/COUNTERFEITING
"EAVESDROPPING DEVICES, SALE OR USE",FRAUD
"ROBBERY, VEHICLE FOR HIRE, ATT., W/ OTHER WEAPON",VEHICLE THEFT
THREATS AGAINST LIFE,ASSAULT
GRAND THEFT FROM LOCKED AUTO,LARCENY/THEFT
IMPERSONATING A POLICE OFFICER,FRAUD
"INSURED PROPERTY, DESTRUCTION TO DEFRAUD INSURER",NON-CRIMINAL
CHILD STEALING,NON-CRIMINAL
MANUFACTURE OR SALE OF COUNTERFEIT GOODS,FORGERY/COUNTERFEITING
"PRIVACY, INVASION OF  (GENERAL)",FRAUD
JUDGE/JUROR ACCEPTING A BRIBE,OTHER OFFENSES
POSSESSION OF METH-AMPHETAMINE,DRUG/NARCOTIC
PHONE CALLS IN VIOLATION OF DV COURT ORDER,OTHER OFFENSES
GRAND THEFT BY PROSTITUTE,LARCENY/THEFT
FIRE REPORT,NON-CRIMINAL
"DRIVERS LICENSE, SUSPENDED OR REVOKED",OTHER OFFENSES
POSSESSION OF METHADONE,DRUG/NARCOTIC
ANNOY OR MOLEST CHILDREN,"SEX OFFENSES, FORCIBLE"
SPEEDING,OTHER OFFENSES
"LICENSE PLATE, STOLEN",OTHER OFFENSES
ATTEMPTED AUTO STRIP,LARCENY/THEFT
"BURGLARY,STORE UNDER CONSTRUCTION, ATT. FORCIBLE",BURGLARY
THEFT OF WRITTEN INSTRUMENT,LARCENY/THEFT
ENCOURAGE MINOR TO USE CONTROLLED SUBSTANCE,DRUG/NARCOTIC
POSSESSION OF FIRECRACKERS,OTHER OFFENSES
VIOLATION OF FIRE CODE,OTHER OFFENSES
LOST PROPERTY,NON-CRIMINAL
LOCATED EXPLOSIVE DEVICE,NON-CRIMINAL
"KIDNAPPER, POSING AS",OTHER OFFENSES
"MALICIOUS MISCHIEF, GRAFFITI",VANDALISM
ATTEMPTED ROBBERY OF A BANK WITH BODILY FORCE,ROBBERY
ATTEMPTED ROBBERY COMM. ESTAB. WITH DEADLY WEAPON,ROBBERY
ARSON OF A COMMERCIAL BUILDING,LARCENY/THEFT
GRAND THEFT SHOPLIFTING,LARCENY/THEFT
RESISTING ARREST,OTHER OFFENSES
THREATS TO SCHOOL TEACHERS,ASSAULT
DRIVING WHILE UNDER THE INFLUENCE OF DRUGS,DRIVING UNDER THE INFLUENCE
EMBEZZLEMENT FROM DEPENDENT OR ELDER ADULT BY CARETAKER,LARCENY/THEFT
ATTEMPTED ROBBERY RESIDENCE WITH BODILY FORCE,ROBBERY
TAKING CONTRABAND INTO A REFORMATORY,OTHER OFFENSES
DAMAGE TO PARKING METERS,VANDALISM
MASSAGE ESTABLISHMENT PERMIT VIOLATION,OTHER OFFENSES
ATTEMPTED ROBBERY RESIDENCE WITH A DEADLY WEAPON,ROBBERY
ENROUTE TO ADULT AUTHORITY,WARRANTS
POSS OF TEAR GAS WEAPON,WEAPON LAWS
"BURGLARY, VEHICLE (ARREST MADE)",BURGLARY
ATTEMPTED ROBBERY WITH A DEADLY WEAPON,ASSAULT
"THEFT, DRUNK ROLL, >$400",LARCENY/THEFT
"COUNTERFEITING, PLATES OR DIES",FORGERY/COUNTERFEITING
AIDED CASE -PROPERTY FOR DESTRUCTION,NON-CRIMINAL
TRAFFIC ACCIDENT,NON-CRIMINAL
FALSE FIRE ALARM,OTHER OFFENSES
"MALICIOUS MISCHIEF, BUILDING UNDER CONSTRUCTION",VANDALISM
VIOLATION OF STATE LABOR CODE,OTHER OFFENSES
ATTEMPTED ROBBERY WITH A KNIFE,ROBBERY
"THEFT, BICYCLE, <$50, SERIAL NUMBER KNOWN",LARCENY/THEFT
"VEHICLE, DISABLED PLACARD VIOLATION",OTHER OFFENSES
ASSAULT TO RAPE WITH BODILY FORCE,ASSAULT
"KIDNAPPING, ADULT VICTIM",KIDNAPPING
"SUSPICIOUS AUTO, POSSIBLY SEX",SUSPICIOUS OCC
PLACING TRASH ON THE STREET,OTHER OFFENSES
"WEAPON, ASSAULT, POSSESSION, MANUFACTURE, OR SALE",ASSAULT
FIREARM POSSESSION IN SCHOOL ZONE,WEAPON LAWS
"THEFT, GRAND, OF FIREARM",LARCENY/THEFT
"VEHICLE, RECOVERED, OTHER VEHICLE",VEHICLE THEFT
POSSESSION OF AMPHETAMINE FOR SALES,DRUG/NARCOTIC
ATTEMPTED ROBBERY CHAIN STORE WITH DEADLY WEAPON,ROBBERY
DESTROYING JAIL PROPERTY-OVER $200,VANDALISM
FORGERY & COUNTERFEITING (GENERAL),FORGERY/COUNTERFEITING
"BURGLARY,WAREHOUSE UNDER CONSTRT, ATT. FORCIBLE",BURGLARY
"CONTROLLED SUBSTANCE VIOLATION, LOITERING FOR",DRUG/NARCOTIC
"AIDED CASE, INJURED PERSON",NON-CRIMINAL
HARASSING PHONE CALLS,OTHER OFFENSES
RECEIVING STOLEN PROPERTY,NON-CRIMINAL
DESERTION OF CHILD,LARCENY/THEFT
TRANSPORTATION OF MARIJUANA,DRUG/NARCOTIC
BATTERY DURING LABOR DISPUTE,ASSAULT
"CIVIL SIDEWALKS, BOOKING",NON-CRIMINAL
INCEST,NON-CRIMINAL
SUICIDE BY INGESTION,SUICIDE
VIOLATION OF MUNICIPAL POLICE CODE,OTHER OFFENSES
RESTRAINING ORDER NOTIFICATION/SERVICE OF RESTRAINING ORDER,OTHER OFFENSES
"ROBBERY,  ATM, GUN",ROBBERY
"BURGLARY,FLAT UNDER CONSTRUCTION, ATT. FORCIBLE",BURGLARY
SALE OF HEROIN,DRUG/NARCOTIC
ATTEMPTED STOLEN VEHICLE,VEHICLE THEFT
INDECENT EXPOSURE WITH PRIOR CONVICTION,OTHER OFFENSES
MEGAN'S LAW NOTIFICATION,NON-CRIMINAL
INTERFERRING WITH A FIREMAN,OTHER OFFENSES
FAILURE TO REGISTER AS SEX OFFENDER,OTHER OFFENSES
RECOVERED VEHICLE - STOLEN OUTSIDE SF,VEHICLE THEFT
ATTEMPTED MAYHEM WITH BODILY FORCE,ASSAULT
SALE OF ALCOHOL TO MINOR IN BAR,LIQUOR LAWS
OBSCENE OR LEWD PLAYS/PERFORMANCES,OTHER OFFENSES
"BURGLARY OF FLAT, UNLAWFUL ENTRY",BURGLARY
SPITTING ON SIDEWALK,OTHER OFFENSES
ATTEMPTED ROBBERY COMM. ESTABLISHMENT W/KNIFE,ROBBERY
PURCHASE FEMALE FOR THE PURPOSE OF PROSTITUTION,PROSTITUTION
RUNAWAY,NON-CRIMINAL
PEEPING TOM,OTHER OFFENSES
ROBBERY OF A BANK WITH A GUN,ROBBERY
IMMORAL ACTS OR DRUNK IN PRESENCE OF CHILD,OTHER OFFENSES
ATTEMPTED HOMICIDE BY SNIPING,ASSAULT
RECKLESS DRIVING,OTHER OFFENSES
CARJACKING WITH A GUN,ROBBERY
"ROBBERY, ARMED WITH A GUN",ROBBERY
ATTEMPTED ROBBERY ON THE STREET W/DEADLY WEAPON,ROBBERY
"BURGLARY,FLAT UNDER CONSTRUCTION, UNLAWFUL ENTRY",BURGLARY
ROBBERY OF A SERVICE STATION WITH BODILY FORCE,ROBBERY
"PRESCRIPTION, FORGE OR ALTER (4390 B&P)",DRUG/NARCOTIC
MAINTAINING A PUBLIC NUISANCE AFTER NOTIFICATION,DISORDERLY CONDUCT
PETTY THEFT OF PROPERTY,LARCENY/THEFT
FALSE REPORT OF BOMB,OTHER OFFENSES
"ROBBERY,  ATM, FORCE, ATT.",ROBBERY
POSSESSION OF OPIUM,DRUG/NARCOTIC
"WEAPON, TAKING OR ATTEMPTING TO TAKE FROM PEACE OFFICER",WEAPON LAWS
"FINANCIAL STATEMENTS, FALSE",FORGERY/COUNTERFEITING
SALE OF BASE/ROCK COCAINE,DRUG/NARCOTIC
"CHECKS, MAKE OR PASS FICTITIOUS",FORGERY/COUNTERFEITING
"THEFT OF TELECOMMUNICATION SERVICES, INCL. CLONE PHONE",LARCENY/THEFT
"FIREARM, CARRYING LOADED WITH INTENT TO COMMIT FELONY",WEAPON LAWS
"ESCAPEE, JUVENILE",OTHER OFFENSES
POSSESSION OF OPIATES,DRUG/NARCOTIC
ENGAGING IN LEWD CONDUCT - PROSTITUTION RELATED,PROSTITUTION
ARSON OF A POLICE BUILDING,LARCENY/THEFT
EXTORTION,NON-CRIMINAL
"DEATH REPORT, IN CUSTODY",NON-CRIMINAL
THREAT OR FORCE TO RESIST EXECUTIVE OFFICER,ASSAULT
ACCIDENTAL SHOOTING,NON-CRIMINAL
"DISTURBING THE PEACE, COMMOTION",DISORDERLY CONDUCT
SOLICITS FOR ACT OF PROSTITUTION,PROSTITUTION
"SHORT CHANGE, GRAND THEFT",FRAUD
ILLEGAL CHARITABLE SOLICITATIONS,OTHER OFFENSES
"BURGLARY OF WAREHOUSE, FORCIBLE ENTRY",BURGLARY
ATTEMPTED ROBBERY RESIDENCE WITH A GUN,ROBBERY
POSSESSION OF ARTICLES WITH IDENTIFICATION REMOVE,OTHER OFFENSES
AID OR HARBOR FELON,OTHER OFFENSES
PERJURY,OTHER OFFENSES
OBSCENE MOVIES/ACTS,OTHER OFFENSES
RIOT,OTHER OFFENSES
ATTEMPTED SUICIDE,LARCENY/THEFT
FALSE REPORT OF POLICE MISCONDUCT,OTHER OFFENSES
AGGRAVATED ASSAULT WITH A KNIFE,ASSAULT
POSSESSION OF COCAINE,DRUG/NARCOTIC
POSSESSION OF MARIJUANA,DRUG/NARCOTIC
PLANTING/CULTIVATING MARIJUANA,DRUG/NARCOTIC
"DOG, STRAY OR VICIOUS",OTHER OFFENSES
ASSAULT BY POISONING,ASSAULT
POSSESSION OF MARIJUANA FOR SALES,DRUG/NARCOTIC
GRAND THEFT OF PROPERTY,LARCENY/THEFT
ASSAULT WITH CAUSTIC CHEMICALS,ASSAULT
ORAL COPULATION,"SEX OFFENSES, FORCIBLE"
POSSESSION OF CAUSTIC CHEMICAL,DRUG/NARCOTIC
"HAZARDOUS MATERIALS,  DUMP ANY SUBSTANCE INTO WATER",OTHER OFFENSES
ELDER ADULT OR DEPENDENT ABUSE (NOT EMBEZZLEMENT OR THEFT),ASSAULT
"CHILD ABUSE, PORNOGRAPHY","SEX OFFENSES, FORCIBLE"
"LICENSE PLATE, FOUND",OTHER OFFENSES
PUTTING SLUGS IN TELEPHONE BOX,FRAUD
IMPERSONATING PUBLIC UTILITY MEMBER,FRAUD
"GUIDE DOG, INTERFERING WITH",OTHER OFFENSES
PAROLE VIOLATION,OTHER OFFENSES
"MALICIOUS MISCHIEF, STREET CARS/BUSES",VANDALISM
"CHECKS, FORGERY (MISDEMEANOR)",FORGERY/COUNTERFEITING
"DOG, BARKING",OTHER OFFENSES
FALSE EVIDENCE OF AGE BY MINOR,LIQUOR LAWS
ATTEMPTED PETTY THEFT OF PROPERTY,LARCENY/THEFT
GRAND THEFT MOTORCYCLE STRIP,LARCENY/THEFT
ATTEMPTED HOMICIDE WITH A DANGEROUS WEAPON,ASSAULT
"LICENSE PLATE OR TAB, THEFT OF",LARCENY/THEFT
SUSPICIOUS PERSON,SUSPICIOUS OCC
"ROBBERY,  ATM, KNIFE",ROBBERY
"TRICK AND DEVICE, ATTEMPTED",FRAUD
"DEATH REPORT, NATURAL CAUSES",NON-CRIMINAL
ATTEMPTED THEFT OF A BICYCLE,LARCENY/THEFT
"COUNTERFEITING, POSSESSION COINS OR NOTES",FORGERY/COUNTERFEITING
ENROUTE TO PROBATION OFFICER,WARRANTS
EXHIBITING DEADLY WEAPON IN A THREATING MANNER,WEAPON LAWS
"SWITCHBLADE KNIFE, POSSESSION",WEAPON LAWS
"FIREARM, ARMED WHILE POSSESSING CONTROLLED SUBSTANCE",DRUG/NARCOTIC
DISPLAY & SALE OF SPRAY PAINT & MARKER PENS,OTHER OFFENSES
